Title;Type;Date of release;runtime;score;languages;Title.7;Genre;Premiere;Runtime;IMDB Score;Language
John Was Trying to Contact Aliens;Documentary;August 20, 2020;16;64;English;;;;;;
Layla Majnun;Romantic drama;February 11, 2021;119;64;Indonesian;;;;;;
Murder to Mercy: The Cyntoia Brown Story;Documentary;April 29, 2020;97;64;English;;;;;;
My Own Man;Documentary;December 13, 2014;81;64;English;;;;;;
Nappily Ever After;Comedy-drama;September 21, 2018;98;64;English;;;;;;
Over the Moon;Animation/Musical/Adventure;October 23, 2020;95;64;English;;;;;;
Street Flow;Drama;October 12, 2019;96;64;French;;;;;;
Sturgill Simpson Presents: Sound & Fury;Animation / Musicial;September 27, 2019;41;64;English;;;;;;
Take Your Pills;Documentary;March 16, 2018;87;64;English;;;;;;
The Heartbreak Club;Comedy-drama;January 14, 2021;101;64;Indonesian;;;;;;
The Mars Generation;Documentary;May 5, 2017;97;64;English;;;;;;
The Occupant;Thriller;March 25, 2020;103;64;Spanish;;;;;;
The Willoughbys;Animation/Comedy/Adventure;April 22, 2020;90;64;English;;;;;;
Triple Frontier;Action-thriller;March 13, 2019;125;64;English;;;;;;
Two Catalonias;Documentary;September 28, 2018;116;64;Spanish/Catalan;;;;;;
Walk. Ride. Rodeo.;Drama;March 8, 2019;99;64;English;;;;;;
Wheelman;Action thriller;October 20, 2017;82;64;English;;;;;;
When We First Met;Romantic comedy;February 9, 2018;97;64;English;;;;;;
A 3 Minute Hug;Documentary;October 28, 2019;28;65;English/Spanish;;;;;;
All the Bright Places;Romance;February 28, 2020;108;65;English;;;;;;
All Together Now;Drama;August 28, 2020;93;65;English;;;;;;
Altered Carbon: Resleeved;Anime/Science fiction;March 19, 2020;74;65;Japanese;;;;;;
Antoine Griezmann: The Making of a Legend;Documentary;March 21, 2019;60;65;French;;;;;;
Canvas ;Animation / Short;December 11, 2020;9;65;English;;;;;;
Chadwick Boseman: Portrait of an Artist;Documentary;April 17, 2021;21;65;English;;;;;;
Chopsticks;Comedy;May 31, 2019;100;65;Hindi;;;;;;
Da 5 Bloods;War drama;June 12, 2020;155;65;English;;;;;;
Dolly Parton: A MusiCares Tribute;Documentary;April 7, 2021;55;65;English;;;;;;
Eurovision Song Contest: The Story of Fire Saga;Musical comedy;June 26, 2020;123;65;English;;;;;;
Gerald's Game;Horror thriller;September 29, 2017;103;65;English;;;;;;
His House;Thriller;October 30, 2020;93;65;English;;;;;;
Jingle Jangle: A Christmas Journey;Family/Christmas musical;November 13, 2020;119;65;English;;;;;;
Life Overtakes Me;Documentary;June 14, 2019;40;65;English/Swedish;;;;;;
Lust Stories;Drama;June 15, 2018;120;65;Hindi;;;;;;
Monster;Drama;May 7, 2021;98;65;English;;;;;;
Mowgli: Legend of the Jungle;Adventure;December 7, 2018;104;65;English;;;;;;
Nobody Knows I'm Here;Drama;June 24, 2020;91;65;Spanish;;;;;;
Nobody Speak: Trials of the Free Press;Documentary;June 23, 2017;95;65;English;;;;;;
Oxygen;Science fiction thriller;May 12, 2021;101;65;French;;;;;;
Set It Up;Romantic comedy;June 15, 2018;105;65;English;;;;;;
The Incredible Jessica James;Comedy;July 28, 2017;83;65;English;;;;;;
Tigertail;Drama;April 10, 2020;91;65;English/Taiwanese/Mandarin;;;;;;
Tramps;Romance;April 21, 2017;83;65;English;;;;;;
What Did Jack Do?;Drama / Short;January 20, 2020;17;65;English;;;;;;
Bad Trip;Hidden-camera prank comedy;March 26, 2021;86;66;English;;;;;;
Bird Box;Psychological thriller;December 21, 2018;124;66;English;;;;;;
Bulbbul;Horror;June 24, 2020;94;66;Hindi;;;;;;
Crazy About Her;Romantic comedy;February 26, 2021;102;66;Spanish;;;;;;
Elisa & Marcela;Romance;June 7, 2019;118;66;Spanish;;;;;;
I'll Sleep When I'm Dead;Documentary;August 19, 2016;79;66;English;;;;;;
I'm Thinking of Ending Things;Psychological thriller;September 4, 2020;134;66;English;;;;;;
It Takes a Lunatic;Documentary;October 25, 2019;126;66;English;;;;;;
Milestone;Drama;May 7, 2021;98;66;Hindi;;;;;;
Recovery Boys;Documentary;June 29, 2018;89;66;English;;;;;;
ReMastered: Who Killed Jam Master Jay?;Documentary;December 7, 2018;58;66;English;;;;;;
Shawn Mendes: In Wonder;Documentary;November 23, 2020;83;66;English;;;;;;
Space Sweepers;Science fiction;February 5, 2021;136;66;Korean;;;;;;
The American Meme;Documentary;December 7, 2018;98;66;English;;;;;;
The Angel;Spy thriller;September 14, 2018;114;66;English;;;;;;
The Crimes That Bind;Crime drama;August 20, 2020;99;66;Spanish;;;;;;
The Red Sea Diving Resort;Spy thriller;July 31, 2019;130;66;English;;;;;;
What Would Sophia Loren Do?;Documentary;January 15, 2021;32;66;English;;;;;;
A Whisker Away;Anime/Fantasy;June 18, 2020;104;67;Japanese;;;;;;
Ajeeb Daastaans;Drama;April 16, 2021;142;67;Hindi;;;;;;
Arlo the Alligator Boy;Animated musical comedy;April 16, 2021;92;67;English;;;;;;
Blame!;Anime/Science fiction;May 20, 2017;106;67;Japanese;;;;;;
Blue Miracle;Drama;May 27, 2021;95;67;English;;;;;;
CounterPunch ;Documentary;June 16, 2017;91;67;English;;;;;;
Extraction;Action;April 24, 2020;117;67;English;;;;;;
Giving Voice;Documentary;December 11, 2020;90;67;English;;;;;;
Hillbilly Elegy;Drama;November 24, 2020;117;67;English;;;;;;
Hope Frozen: A Quest to Live Twice;Documentary;September 15, 2020;80;67;Thia/English;;;;;;
Imperial Dreams;Drama;February 3, 2017;87;67;English;;;;;;
Just Another Christmas;Comedy;December 3, 2020;101;67;Portuguese;;;;;;
Little Miss Sumo;Documentary;October 28, 2019;19;67;Japanese;;;;;;
Malcolm & Marie;Romantic drama;February 5, 2021;106;67;English;;;;;;
Moxie;Drama;March 3, 2021;111;67;English;;;;;;
Night in Paradise;Drama;April 9, 2021;132;67;Korean;;;;;;
Paper Lives;Drama;March 12, 2021;97;67;Turkish;;;;;;
Parchis: The Documentary;Documentary;July 10, 2019;106;67;Spanish;;;;;;
Tallulah;Comedy-drama;July 29, 2016;111;67;English;;;;;;
The Old Guard;Superhero/Action;July 10, 2020;124;67;English;;;;;;
Upstarts;Drama;October 18, 2019;112;67;Hindi;;;;;;
22 July;Drama;October 10, 2018;144;68;English;;;;;;
7 a?os;Drama;October 28, 2016;76;68;Spanish;;;;;;
A Futile and Stupid Gesture;Biographical/Comedy;January 26, 2018;101;68;English;;;;;;
A Life of Speed: The Juan Manuel Fangio Story;Documentary;March 20, 2020;92;68;Spanish;;;;;;
A Love Song for Latasha;Documentary;September 21, 2020;19;68;English;;;;;;
All in My Family;Documentary;May 3, 2019;39;68;English/Mandarin;;;;;;
Always Be My Maybe;Romantic comedy;May 31, 2019;102;68;English;;;;;;
Becoming;Documentary;May 6, 2020;89;68;English;;;;;;
Long Live Brij Mohan;Comedy;August 3, 2018;105;68;Hindi;;;;;;
Calibre;Thriller;June 29, 2018;101;68;English;;;;;;
Death to 2020;Comedy;December 27, 2020;70;68;English;;;;;;
GIMS: On the Record;Documentary;September 17, 2020;96;68;French;;;;;;
Have a Good Trip: Adventures in Psychedelics;Documentary;May 11, 2020;85;68;English;;;;;;
Heroin(e) ;Documentary;September 12, 2017;39;68;English;;;;;;
Mercury 13;Documentary;April 20, 2018;79;68;English;;;;;;
Saving Capitalism;Documentary;November 21, 2017;73;68;English;;;;;;
Serious Men;Drama;October 2, 2020;114;68;Hindi;;;;;;
The Boys in the Band;Drama;September 30, 2020;121;68;English;;;;;;
The Boys in the Band: Something Personal;Aftershow / Interview;September 30, 2020;28;68;English;;;;;;
The Life Ahead;Drama;November 13, 2020;95;68;Italian;;;;;;
The Other Side of the Wind;Drama;November 2, 2018;122;68;English;;;;;;
The Trader;Documentary;February 9, 2018;23;68;Georgian;;;;;;
To the Bone;Drama;July 14, 2017;107;68;English;;;;;;
Tony Parker: The Final Shot;Documentary;January 6, 2021;98;68;French;;;;;;
AK vs AK;Thriller;December 24, 2020;108;69;Hindi;;;;;;
Amanda Knox;Documentary;September 30, 2016;92;69;English;;;;;;
Bigflo & Oil: Hip Hop Frenzy;Documentary;October 8, 2020;100;69;French;;;;;;
Biggie: I Got a Story to Tell;Documentary;March 1, 2021;97;69;English;;;;;;
Cops and Robbers;Animation / Short;December 28, 2020;7;69;English;;;;;;
I Don't Feel at Home in This World Anymore;Drama;February 24, 2017;96;69;English;;;;;;
Laerte-se;Documentary;May 19, 2017;100;69;Portuguese;;;;;;
Mank;Biopic;December 4, 2020;132;69;English;;;;;;
Our Souls at Night;Romance;September 29, 2017;103;69;English;;;;;;
Outlaw King;Historical-epic;November 9, 2018;121;69;English;;;;;;
Pagglait;Comedy-drama;March 26, 2021;114;69;Hindi;;;;;;
ReMastered: Who Shot the Sheriff?;Documentary;October 12, 2018;57;69;English;;;;;;
Seeing Allred;Documentary;February 9, 2018;95;69;English;;;;;;
Spelling the Dream;Documentary;June 3, 2020;83;69;English;;;;;;
The Claudia Kishi Club;Documentary;July 10, 2020;17;69;English;;;;;;
The Half of It;Romance;May 1, 2020;105;69;English;;;;;;
The Highwaymen;Crime drama;March 29, 2019;131;69;English;;;;;;
The Lonely Island Presents: The Unauthorized Bash Brothers Experience;Comedy / Musical;May 23, 2019;30;69;English;;;;;;
The Meyerowitz Stories (New and Selected);Comedy-drama;October 13, 2017;112;69;English;;;;;;
Feminists: What Were They Thinking?;Documentary;October 12, 2018;86;7;English;;;;;;
Gaga: Five Foot Two;Documentary;September 22, 2017;100;7;English;;;;;;
I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron;Aftershow / Interview;November 3, 2020;14;7;English;;;;;;
Kingdom of Us;Documentary;October 13, 2017;109;7;English;;;;;;
Los Tigres del Norte at Folsom Prison;Documentary;September 15, 2019;64;7;Spanish;;;;;;
Ma Rainey's Black Bottom;Drama;December 18, 2020;94;7;English;;;;;;
Ma Rainey's Black Bottom: A Legacy Brought to Screen;Aftershow / Interview;December 18, 2020;31;7;English;;;;;;
Operation Varsity Blues: The College Admissions Scandal;Documentary;March 17, 2021;99;7;English;;;;;;
Pele;Documentary;February 23, 2021;108;7;English;;;;;;
ReMastered: Devil at the Crossroads;Documentary;April 26, 2019;48;7;English;;;;;;
ReMastered: The Lion's Share;Documentary;May 17, 2019;84;7;English;;;;;;
ReMastered: The Miami Showband Massacre;Documentary;March 22, 2019;70;7;English;;;;;;
Resurface;Documentary;September 1, 2017;27;7;English;;;;;;
Rocko's Modern Life: Static Cling;Animation / Comedy;August 9, 2019;45;7;English;;;;;;
Rose Island;Comedy;December 9, 2020;117;7;Italian;;;;;;
The Christmas Chronicles;Christmas/Fantasy/Adventure/Comedy;November 22, 2018;104;7;English;;;;;;
The Dirt;Biopic;March 22, 2019;108;7;English;;;;;;
The Night Comes for Us;Action-thriller;October 19, 2018;121;7;Indonesian;;;;;;
13th: A Conversation with Oprah Winfrey & Ava DuVernay;Aftershow / Interview;January 26, 2017;36;71;English;;;;;;
Angela's Christmas;Animation;November 30, 2018;30;71;English;;;;;;
Angela's Christmas Wish;Animation;December 1, 2020;47;71;English;;;;;;
Beats;Drama;June 19, 2019;110;71;English;;;;;;
Circus of Books;Documentary;April 22, 2020;92;71;English;;;;;;
Dance Dreams: Hot Chocolate Nutcracker;Documentary;November 27, 2020;80;71;English;;;;;;
Derren Brown: Sacrifice;Mentalism special;October 19, 2018;49;71;English;;;;;;
El Pepe: A Supreme Life;Documentary;December 27, 2019;73;71;Spanish;;;;;;
End Game;Documentary;May 4, 2018;40;71;English;;;;;;
Evelyn;Documentary;September 10, 2019;96;71;English;;;;;;
Ferry;Crime drama;May 14, 2021;106;71;Dutch;;;;;;
Grass Is Greener;Documentary;April 20, 2019;97;71;English;;;;;;
Guillermo Vilas: Settling the Score;Documentary;October 27, 2020;94;71;Spanish;;;;;;
Joshua: Teenager vs. Superpower;Documentary;May 26, 2017;78;71;English;;;;;;
Keith Richards: Under the Influence;Documentary;September 18, 2015;81;71;English;;;;;;
Knock Down the House;Documentary;May 1, 2019;87;71;English;;;;;;
Loudon Wainwright III: Surviving Twin;One-man show;November 13, 2018;91;71;English;;;;;;
My Beautiful Broken Brain;Documentary;March 18, 2016;91;71;English;;;;;;
One of Us;Documentary;October 20, 2017;95;71;English;;;;;;
Pieces of a Woman;Drama;January 7, 2021;126;71;English;;;;;;
ReMastered: Tricky Dick & the Man in Black;Documentary;November 2, 2018;58;71;English;;;;;;
Rooting for Roona;Documentary;October 15, 2020;41;71;Bengali;;;;;;
The Devil All the Time;Psychological thriller;September 16, 2020;138;71;English;;;;;;
The Dig;Drama;January 29, 2021;112;71;English;;;;;;
The Great Hack;Documentary;July 24, 2019;114;71;English;;;;;;
The White Tiger;Drama;January 22, 2021;125;71;English;;;;;;
To All the Boys I've Loved Before;Romantic comedy;August 17, 2018;99;71;English;;;;;;
American Murder: The Family Next Door;Documentary;September 30, 2020;82;72;English;;;;;;
Audrie & Daisy;Documentary;September 23, 2016;98;72;English;;;;;;
First They Killed My Father;Drama;September 15, 2017;136;72;Khmer/English/French;;;;;;
Fyre: The Greatest Party That Never Happened;Documentary;January 18, 2019;97;72;English;;;;;;
Into the Inferno;Documentary;October 28, 2016;107;72;English;;;;;;
LA Originals;Documentary;April 10, 2020;92;72;English;;;;;;
Ladies First;Documentary;March 8, 2018;39;72;English/Hindi;;;;;;
Love per Square Foot;Romantic comedy;February 14, 2018;133;72;Hindi;;;;;;
Paddleton;Drama-Comedy;February 22, 2019;89;72;English;;;;;;
Private Life;Drama;October 5, 2018;124;72;English;;;;;;
Seventeen;Coming-of-age comedy-drama;October 18, 2019;99;72;Spanish;;;;;;
Sometimes;Drama;May 1, 2018;101;72;Tamil;;;;;;
Soni;Crime drama;January 18, 2019;97;72;Hindi;;;;;;
The 40-Year-Old Version;Comedy;October 9, 2020;124;72;English;;;;;;
The Disciple;Drama;April 30, 2021;129;72;Marathi;;;;;;
The Edge of Democracy;Documentary;June 19, 2019;121;72;Portuguese;;;;;;
The King;Historical drama;November 1, 2019;140;72;English;;;;;;
The Road to El Camino: A Breaking Bad Movie;Making-of;October 29, 2019;13;72;English;;;;;;
The Siege of Jadotville;War;October 7, 2016;108;72;English;;;;;;
Zion ;Documentary;August 10, 2018;11;72;English;;;;;;
Dolemite Is My Name;Biopic;October 25, 2019;118;73;English;;;;;;
El Camino: A Breaking Bad Movie;Crime drama;October 11, 2019;121;73;English;;;;;;
Extremis;Documentary;September 13, 2016;24;73;English;;;;;;
Father Soldier Son;Documentary;July 17, 2020;100;73;English;;;;;;
Get Me Roger Stone;Documentary;May 12, 2017;101;73;English;;;;;;
I'm No Longer Here;Drama;May 27, 2020;105;73;Spanish;;;;;;
Mucho Mucho Amor: The Legend of Walter Mercado ;Documentary;July 8, 2020;96;73;Spanish/English;;;;;;
Octonauts & the Great Barrier Reef;Animation;October 13, 2020;47;73;English;;;;;;
Okja;Action-adventure;June 28, 2017;121;73;English/Korean;;;;;;
On My Skin;Crime drama;September 12, 2018;100;73;Italian;;;;;;
Raat Akeli Hai;Thriller;July 31, 2020;149;73;Hindi;;;;;;
ReMastered: Massacre at the Stadium;Documentary;January 11, 2019;64;73;English/Spanish;;;;;;
ReMastered: The Two Killings of Sam Cooke;Documentary;February 8, 2019;64;73;English;;;;;;
Secrets of the Saqqara Tomb;Documentary;October 28, 2020;114;73;English/Arabic;;;;;;
Sitara: Let Girls Dream;Animation / Short;March 8, 2020;15;73;English;;;;;;
Sky Ladder: The Art of Cai Guo-Qiang;Documentary;October 14, 2016;79;73;English/Mandarin;;;;;;
Team Foxcatcher;Documentary;April 29, 2016;90;73;English/Russian;;;;;;
The Ballad of Buster Scruggs;Western;November 16, 2018;132;73;English;;;;;;
The Death and Life of Marsha P. Johnson;Documentary;October 6, 2017;105;73;English;;;;;;
The Fundamentals of Caring;Comedy-drama;June 24, 2016;97;73;English;;;;;;
The Other One: The Long Strange Trip of Bob Weir;Documentary;May 22, 2015;83;73;English;;;;;;
American Factory;Documentary;August 21, 2019;110;74;English;;;;;;
Fire in Paradise;Documentary;November 1, 2019;39;74;English;;;;;;
Long Shot;Documentary;September 29, 2017;40;74;English;;;;;;
Miss Americana;Documentary;January 31, 2020;85;74;English;;;;;;
Period. End of Sentence.;Documentary;February 12, 2019;26;74;English/Hindi;;;;;;
Shawn Mendes: Live in Concert;Concert Film;November 25, 2020;87;74;English;;;;;;
Shirkers;Documentary;October 26, 2018;97;74;English;;;;;;
The Black Godfather;Documentary;June 7, 2019;118;74;English;;;;;;
The Irishman: In Conversation;Aftershow / Interview;November 27, 2019;23;74;English;;;;;;
The Speed Cubers;Documentary;July 29, 2020;40;74;English;;;;;;
They'll Love Me When I'm Dead;Documentary;November 2, 2018;98;74;English;;;;;;
Tig;Documentary;July 17, 2015;80;74;English;;;;;;
Barbra: The Music; The Mem'ries; The Magic!;0;;108;7.5;;;;;
Blackpink: Light Up the Sky;Documentary;October 14, 2020;79;75;Korean;;;;;;
City of Joy;Documentary;September 7, 2018;74;75;English;;;;;;
Dick Johnson Is Dead;Documentary;October 2, 2020;90;75;English;;;;;;
Homecoming: A Film by Beyonce ;Documentary;April 17, 2019;137;75;English;;;;;;
Invader Zim: Enter the Florpus;Animation / Science Fiction;August 16, 2019;71;75;English;;;;;;
John Mulaney & the Sack Lunch Bunch;Variety show;December 24, 2019;70;75;English;;;;;;
Reversing Roe;Documentary;September 13, 2018;99;75;English;;;;;;
Athlete A;Documentary;June 24, 2020;104;76;English;;;;;;
Ludo;Anthology/Dark comedy;November 12, 2020;149;76;Hindi;;;;;;
Quincy;Documentary;September 21, 2018;124;76;English;;;;;;
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere;Documentary;June 12, 2019;144;76;English;;;;;;
Tell Me Who I Am;Documentary;October 18, 2019;85;76;English;;;;;;
The Bleeding Edge;Documentary;July 27, 2018;100;76;English;;;;;;
The Social Dilemma;Documentary;September 9, 2020;94;76;English;;;;;;
The Two Popes;Drama;December 20, 2019;125;76;English;;;;;;
Yeh Ballet;Drama;February 21, 2020;117;76;Hindi;;;;;;
Anima;Musical / Short;June 27, 2019;15;77;English;;;;;;
Beasts of No Nation;War drama;October 16, 2015;136;77;English/Akan;;;;;;
Brene Brown: The Call to Courage;Documentary;April 19, 2019;76;77;English;;;;;;
Crip Camp: A Disability Revolution;Documentary;March 25, 2020;108;77;English;;;;;;
Justin Timberlake + The Tennessee Kids;Concert Film;October 12, 2016;90;77;English;;;;;;
Road to Roma;Making-of;February 11, 2020;72;77;Spanish;;;;;;
Roma;Drama;December 14, 2018;135;77;Spanish;;;;;;
If Anything Happens I Love You;Animation / Short;November 20, 2020;12;78;English;;;;;;
The Irishman;Crime drama;November 27, 2019;209;78;English;;;;;;
The Trial of the Chicago 7;Drama;October 16, 2020;130;78;English;;;;;;
A Secret Love;Documentary;April 29, 2020;82;79;English;;;;;;
Icarus;Documentary;August 4, 2017;120;79;English;;;;;;
Marriage Story;Drama;December 6, 2019;136;79;English;;;;;;
The Ivory Game;Documentary;November 4, 2016;112;79;English;;;;;;
Struggle: The Life and Lost Art of Szukaiski;Documentary;December 21, 2018;105;8;English;;;;;;
Chasing Coral ;Documentary;July 14, 2017;89;81;English;;;;;;
My Octopus Teacher;Documentary;September 7, 2020;85;81;English;;;;;;
Rising Phoenix;Documentary;August 26, 2020;106;81;English;;;;;;
13th;Documentary;October 7, 2016;100;82;English;;;;;;
Disclosure: Trans Lives on Screen;Documentary;June 19, 2020;107;82;English;;;;;;
Klaus;Animation/Christmas/Comedy/Adventure;November 15, 2019;97;82;English;;;;;;
Seaspiracy;Documentary;March 24, 2021;89;82;English;;;;;;
The Three Deaths of Marisela Escobedo;Documentary;October 14, 2020;109;82;Spanish;;;;;;
Cuba and the Cameraman ;Documentary;November 24, 2017;114;83;English;;;;;;
Dancing with the Birds;Documentary;October 23, 2019;51;83;English;;;;;;
Ben Platt: Live from Radio City Music Hall;Concert Film;May 20, 2020;85;84;English;;;;;;
Taylor Swift: Reputation Stadium Tour;Concert Film;December 31, 2018;125;84;English;;;;;;
Winter on Fire: Ukraine's Fight for Freedom;Documentary;October 9, 2015;91;84;English/Ukranian/Russian;;;;;;
Springsteen on Broadway;One-man show;December 16, 2018;153;85;English;;;;;;
Emicida: AmarElo - It's All For Yesterday;Documentary;December 8, 2020;89;86;Portuguese;;;;;;
David Attenborough: A Life on Our Planet;Documentary;October 4, 2020;83;9;English;;;;;;
